;Source Domain;Target Domain;Title;Metaphor;Example
239;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;Beliefs dictate actions.
240;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;You are governed by your beliefs.
241;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;You are guided by beliefs.
242;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;There are misleading beliefs.
243;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;You are led by your beliefs.
244;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;You go by your beliefs.
245;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;You hold to your beliefs.
246;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Considering Believing Is Considering Entering A Relationship;He flirted with a belief in utter hedonism in his youth.
247;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Accepting A Belief Is Entering A Relationship;He embraced that belief wholeheartedly.
248;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Accepting A Belief Is Entering A Relationship;He is wedded to a belief in his own infallability.
249;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Accepting A Belief Is Entering A Relationship;He espoused that belief publically.
250;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;A Tempting Belief Is A Tempting Possible Partner;That's a seductive belief.
251;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;A Tempting Belief Is A Tempting Possible Partner;That's an enticing belief.
252;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;A Tempting Belief Is A Tempting Possible Partner;There is something attractive about that belief.
253;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Maintaining A Belief Is Loving A Partner;He cherishes his faith.
254;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Maintaining A Belief Is Loving A Partner;He holds that belief dear.
255;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Maintaining A Belief Is Loving A Partner;He is taken with that belief.
256;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Giving Up A Belief Is Ending The Relationship;He repudiated his earlier belief.
257;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Giving Up A Belief Is Ending The Relationship;He has totally divorced himself from that belief.
258;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Giving Up A Belief Is Ending The Relationship;That has always been his pet belief.
259;children, pets, animals, babies;beliefs;Beliefs Are Love Objects;Taking Up A Belief Is Gaining A Child Or Pet;He adopted that belief late in his life.
260;children, pets, animals, babies;beliefs;Beliefs Are Love Objects;Maintaining A Belief Is Caring For A Child Or Pet;He nourished his belief with weekly church visits.
261;children, pets, animals, babies;beliefs;Beliefs Are Love Objects;Maintaining A Belief Is Caring For A Child Or Pet;"He fostered the belief within himself.Notice that ""give birth to"" isn't here, because I think that means to bring abelief into being, while according to this mapping it should mean to believe it (each person should give birth only to their own beliefs)."
262;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;I hold certain beliefs.
263;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;He has strong beliefs.
264;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;He clings to his beliefs.
265;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;We share many beliefs.
266;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;He acquired most of his beliefs during childhood.
267;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;Don't give up your beliefs.
268;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;He carries a belief in her innocence in his heart.
269;possessions;beliefs;Beliefs Are Possessions;Believing Is Holding;I hold that he is innocent.
270;possessions;beliefs;Beliefs Are Possessions;Acquiring A Belief Is Acquiring A Possession;He acquired his beliefs during childhood.
271;possessions;beliefs;Beliefs Are Possessions;Acquiring A Belief Is Acquiring A Possession;He took up a whole new set of beliefs while he was in prison.
272;possessions;beliefs;Beliefs Are Possessions;Deciding To Believe Is Deciding To Acquire A Possession;I briefly toyed with a belief in a higher power.
273;possessions;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Having In Possession;I dropped my belief in his innocence when I saw the evidence.
274;possessions;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Having In Possession;You'll have to let go of your belief in Santa Claus.
275;possessions;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Having In Possession;I don't hold that belief.
276;possessions;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Having In Possession;That isn't one of my beliefs.
277;commodities, goods, value ;beliefs;Beliefs Are Possessions;Believing Is Owning Goods;He took stock of what he believed.
278;commodities, goods, value ;beliefs;Beliefs Are Possessions;Believing Is Owning Goods;She took inventory of her beliefs.
279;commodities, goods, value ;beliefs;Beliefs Are Possessions;No Longer Believing Is Selling Out;He sold out his dearest beliefs.
280;commodities, goods, value ;beliefs;Beliefs Are Possessions;Arguing For A Belief Is Trying To Sell It;He tryed to sell be a load of hooey.
281;commodities, goods, value ;beliefs;Beliefs Are Possessions;Arguing For A Belief Is Trying To Sell It;I almost bought his line.
282;commodities, goods, value ;beliefs;Beliefs Are Possessions;Accepting A Belief Is Buying It;I really buy what he's saying.
283;commodities, goods, value ;beliefs;Beliefs Are Possessions;Accepting A Belief Is Buying It;He bought into the beliefs of one of those cults.
284;commodities, goods, value ;beliefs;Beliefs Are Possessions;Importance Of A Belief Is The Price Of A Good;That is one of his dearest beliefs.
285;commodities, goods, value ;beliefs;Beliefs Are Possessions;Importance Of A Belief Is The Price Of A Good;"He puts a great deal of value on that belief.What part of this is ""set store in a belief""?"
286;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;His experiences shaped his beliefs.
287;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;His experiences helped form his beliefs.
288;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;His beliefs were molded early in his youth.
289;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;The war twisted his beliefs.
290;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;Loneliness had twisted her beliefs.
291;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;His beliefs were forged by years of education.
292;constructed objects;beliefs;Beliefs Are Possessions;Forces Influencing Beliefs Are Shaping Forces;Her beliefs are already set.
293;constructed objects;beliefs;Beliefs Are Possessions;A Belief No Longer Held Is An Object That Has Been Destroyed;His belief in Santa was shattered when he found the costume.
294;constructed objects;beliefs;Beliefs Are Possessions;A Belief No Longer Held Is An Object That Has Been Destroyed;My faith in her crumbled when I saw the evidence.
295;constructed objects;beliefs;Beliefs Are Possessions;The Strength Of A Belief Is The Strength Of The Object;I have a strong belief in her.
296;constructed objects;beliefs;Beliefs Are Possessions;The Strength Of A Belief Is The Strength Of The Object;He maintained a solid belief in God.
297;constructed objects;beliefs;Beliefs Are Possessions;The Strength Of A Belief Is The Strength Of The Object;He maintains a set of iron-clad beliefs.
298;constructed objects;beliefs;Beliefs Are Possessions;The Strength Of A Belief Is The Strength Of The Object;His belief in me was already weak.
299;constructed objects;beliefs;Beliefs Are Possessions;The Changeability Of A Belief Is The Resilience Of The Object;Her beliefs are far too rigid.
300;constructed objects;beliefs;Beliefs Are Possessions;The Changeability Of A Belief Is The Resilience Of The Object;My beliefs are flexible.
301;constructed objects;beliefs;Beliefs Are Possessions;The Importance Of A Belief Is The Weight Of The Object.;I attach a lot of weight to that belief.
302;clothes;beliefs;Beliefs Are Possessions;The Importance Of A Belief Is The Weight Of The Object.;His beliefs are built on experience
303;clothes;beliefs;Beliefs Are Possessions;The Importance Of A Belief Is The Weight Of The Object.;Her beliefs are buttressed by facts
304;clothes;beliefs;Beliefs Are Possessions;The Importance Of A Belief Is The Weight Of The Object.;That belief is without grounds
305;clothes;beliefs;Beliefs Are Possessions;The Importance Of A Belief Is The Weight Of The Object.;His beliefs are without foundation
306;clothes;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Wearing;He cast off his earlier beliefs.
307;clothes;beliefs;Beliefs Are Possessions;No Longer Believing Is No Longer Wearing;He shed his earlier beliefs.
308;clothes;beliefs;Beliefs Are Possessions;Progressing Beyond Ones Beliefs Is Outgrowing;He outgrew his belief in the tooth fairy when he was seven.This is a Basic Level metaphor.  It may be a special case of BELIEFS ARE POSSESSIONS.  It may be related to BELIEFS ARE FASHIONS.
